DISP,100s,10s,1s,COMPLETE SEQUENCE
199,A B,C D E F _ H I,J K L M _ O P,ABCDEFHIJKLMOP
198,A B,C D E F _ H I,J K L M N O P,ABCDEFHIJKLMNOP
197,A B,C D E F _ H I,J _ L _ _ O _,ABCDEFHIJLO
196,A B,C D E F _ H I,_ K _ M N O P,ABCDEFHIKMNOP
195,A B,C D E F _ H I,J K _ M _ O P,ABCDEFHIJKMOP
194,A B,C D E F _ H I,_ K L M _ O _,ABCDEFHIKLMO
193,A B,C D E F _ H I,J _ L M _ O P,ABCDEFHIJLMOP
192,A B,C D E F _ H I,J _ L M N _ P,ABCDEFHIJLMNP
191,A B,C D E F _ H I,_ _ L _ _ O _,ABCDEFHILO
190,A B,C D E F _ H I,J K L _ N O P,ABCDEFHIJKLNOP
189,A B,C D E F G H I,J K L M _ O P,ABCDEFGHIJKLMOP
188,A B,C D E F G H I,J K L M N O P,ABCDEFGHIJKLMNOP
187,A B,C D E F G H I,J _ L _ _ O _,ABCDEFGHIJLO
186,A B,C D E F G H I,_ K _ M N O P,ABCDEFGHIKMNOP
185,A B,C D E F G H I,J K _ M _ O P,ABCDEFGHIJKMOP
184,A B,C D E F G H I,_ K L M _ O _,ABCDEFGHIKLMO
183,A B,C D E F G H I,J _ L M _ O P,ABCDEFGHIJLMOP
182,A B,C D E F G H I,J _ L M N _ P,ABCDEFGHIJLMNP
181,A B,C D E F G H I,_ _ L _ _ O _,ABCDEFGHILO
180,A B,C D E F G H I,J K L _ N O P,ABCDEFGHIJKLNOP
179,A B,C _ E _ _ H _,J K L M _ O P,ABCEHJKLMOP
178,A B,C _ E _ _ H _,J K L M N O P,ABCEHJKLMNOP
177,A B,C _ E _ _ H _,J _ L _ _ O _,ABCEHJLO
176,A B,C _ E _ _ H _,_ K _ M N O P,ABCEHKMNOP
175,A B,C _ E _ _ H _,J K _ M _ O P,ABCEHJKMOP
174,A B,C _ E _ _ H _,_ K L M _ O _,ABCEHKLMO
